rating,title,text,sentiment
1.0,Bad copy.  Not original.,"This was obviously a copy, not an original...  most of the songs are cut off mid-word.  This is NOT what I expected for the amount that I paid.  I am really unhappy with this purchase.",0
2.0,ugh.,what a waste of money.  there were no remixes.  just the song and another song added to the cd.,0
2.0,Not Very Impressive,"I have been familiar with this offering for well over a decade due to the track ""New Home"" which appeared on Six Degree Records super-excellent ""Recline"" CD. Being that I have been going back and reacquiring a lot of the electronica of the Nu-Jazz variety I loved at the start of the millennium, I decided to scoop up this offering thinking I would hear more tracks (at least a few) like the one previously mentioned. I was wrong! I found this CD to be a fairly pedestrian offering of mediocre fare that is mostly no-descript, and lack-luster going throughout. All that culminates in the last track the aforementioned ""New home"" which is the only track worth mentioning.",0
5.0,Whats a better way to enjoy some east coast 90's battle rap,Wu Tang Clan aint nothing to F... with! Whats a better way to enjoy some east coast 90's battle rap? A limited edition 2 record greatest hits. Well recorded clean albums with split colors. If you have little Wu fans in the house theres some f bombs dropped at regular intervals might wanna be mindful of that. Dont forget; protect ya neck....,1
4.0,"subtle, mysterious, well-recorded","You don't expect for Karajan/BPO famously polished sound to work for Stravinsky's savage masterpiece. Somehow it does. It's a very German rite, almost bourgeois, but it brings forward the mystery and subtle menace (e.g., in the Cercle des adolescents), that may be missed by the more ""manly"" renderings (e.g., Gergiev/Kirov, or my reference Metha/LAPO) sometimes. The sound is exceptionally good. For once the DG engineers seem to have left home their 57 mikes and weird 4D mixing, and produced a natural sounding, three-dimensional, very dynamic LP!",1
1.0,Terrible,How can the Allman Brothers release such a terrible recording.  This cd is unplayable please don't waste your money like I did.,0
5.0,"Scott Underwood - ""TAKE MY LIFE""  CD","GREAT CD!!  All songs written by Scott except &#34;What Friend We Have in Jesus&#34;.  Great words and melodies - great<br />piano accompaniment (sp?) - not a boring song in the bunch.  They are giving it away!  The S & H is twice as much as the CD!  But WORTH IT - the whole cost comes to about $6.00.  The seller is in Oregon, I think - Tree of Life.  I have ordered several of these to give to friends - they come really quickly.  Just gave my last one away - going to order at least 2 more to give away - it's a 2005 CD and when they're gone they're probably gone.  I recommend it and the seller highly.",1
1.0,Real disappointment not funny,"It thought it would be songs I heard at the BNW. Like the 12 days of Christmas. Nope Only voices of 2 persons, and not funny.",0
5.0,This Hybrid SACD is better Sounding than the Red Book DSD.,"This review will be concerned primarily with the sound.<br />I just finished listening to these performances twice. The first time I listened to the disc [number 17] in the Living Stereo box Volume 1 remastered to DSD, as was everything in the box,  by Soundmirror. I thought and probably still think they did a fine job of remastering the red book layer of the CD.. Indeed, some of the best upgrades I've heard; so fine that I intended to sell this Hybrid SACD that I also have. First I checked that it was in resale condition. Perfect. Then, just out of curiosity I put the SACD in the same SACD/CD player. The sound that I heard actually startled me; it was that much better. Most noticeable was the soundstage which opened up considerably; also, the instruments tonal quality sounded more like the real thing.<br />My advice: If you now have any of the Living Stereo Hybrids don't get rid of them thinking that the sound on the discs in the big box is the same. Even if you have both now and can't hear the difference, hesitate. If you someday upgrade your equipment you will!<br />I have all the hybrids and will be doing a close listening comparison between them and the discs in the Living Stereo box. If it should turn out that what I hear doesn't confirm the comparison herein I'll amend this review.<br />One final note: Unlike the USA the Japanese have not given up on SACD. They are so convinced that SACD sounds better that they are now releasing remastered discs in SACD only. The theory, as I understand it, is that the SACD tracks are easier to read whenn they don't have to go through the red book CD tracks first. HiRez DSD downloads might sound as good or better, but unless you have plenty of time to wait for the great performances of the past to appear and become available in that form you might miss out on a lot of great performances in very good sound.",1
2.0,Lousy audio recording.,This Italian made box set was produced in 1993.  There are three CDs in this box set.  Each CD has 20 songs.  I don't know when the songs were recorded.  Most of the songs sounded mono with limited audio range.  I had to forced myself to listen to all three CDs.  Perhaps the audio engineer did what he/she could.  There is only so much you can do with lousy audio recordings to begin with.  This set will be donated to charity.,0
1.0,Cheap Defective Copy of CD,"Seller had made inferior copy of original Steven King release, compounded with incomplete CD write process on his PC. After many phone calls I was able to get a refund, but I was stuck with shipping cost to return the defective CD.,<br /><br />Was by no means a legitimate copy.<br /><br />Steven King is one of the best findger-picking guitarists in the world. His CD's are outstanding.Shame on Amazon for failing to vet this seller, a true disservice to Steven King",0
1.0,A Latin American specialist sleepwalking,"Once again, another pianist comes along on the heels of the Lecuona revival started by the re-release of Lecuona playing his own works on BMG/RCA, and Tirino's monumental, comprehensive and incomparable series on BIS records, and once again, this one fails miserably. Seems like so many pianists are trying to get on the Lecuona bandwagon these days.<br />Polly Ferman, a wonderful pianist who has done much for Latin American music in performance on and off disk wonderfully, unfortunately, like many other pianists, really misses it here with the music of Cuba's Ernesto Lecuona. It is unfortunate, because one would expect greater insights and interpretations from this pianist, who, sounds at times asleep at the piano.<br />The tempi are SO slow. No concept of contrast and/or what a danza Cubana is. The malaguena lacks every bit of fire needed, as well as technical panache. The other works lack insights, color variation, and style or understanding of the various works. The music is relegated to a salon like feel, at its worst.<br />Once again, as a Cuban, in my humble opinion-go get the Tirino BIS series of Complete Piano music of Lecuona. There's really no other game in town, and no competition.",0
5.0,Mickey and Jack together: magic blues,"There is something so good  wrought when Jack Dupree and Mickey Baker get together!  Though I had bought his big hit 'Love is Strange' when it came out in the 50's, I did not rediscover Mickey Baker, until I picked up his 'McHouston Baker, Mississippi Delta Blues' reissue and discovered that McHouston was the Mickey of Mickey and Sylvia.  Subsequently found that he was one of the very best rock and roll and blues and R&B guitar players.  He wrote the book (literally).<br />He spent most of his career in Europe so this is a hard item to find here but thanks to Amazon I found as an import.<br />He and Champion Jack found each other in Europe and made some great rocking blues, if  you like this check out 'Champion Jack Dupree & His Blues Band featuring Mickey Baker'",1
5.0,Queen B👑,Love this cd/dvd! Classic.,1
5.0,Jim Reeves Radio Show Available Again,"For years unavailable, these five cds present the great Jim Reeves hosting his own radio show.  Fortunately for us fans, VoiceMasters has made these performances available again; as a limited edition.  You get to hear Mr. Reeves sing songs that he didn’t record commercially – pop songs along with some of the songs that he did record commercially.  And there is also the wonderful “Amen Corner”, where Mr. Reeves presents clever and funny sayings and stories.  One of the things I enjoy about these shows is you get to hear Jim Reeves interacting with the other performers.  You get to hear him speak and laugh.  You also get to hear a very funny boo boo that he made.  And the Christmas show is not to be missed.  All the songs are backed by the Owen Bradley Orchestra.  Owen Bradley certainly needs no introduction to any fan of Country Music.  He produced Patsy Cline, Loretta Lynn, Brenda Lee and many other well-known stars.  In addition to Mr. Reeves, there are performances by the Bradley Orchestra, Dolores Watson and Buddy Hall, resulting in 165 tracks and 5 hours.  I was very pleased at the fantastic sound quality.  When I got my set, I was amazed to see there are 5 hours of music on this set.  Considering that, this set is a bargain in my humble opinion.  This being a limited edition set, I would suggest you not wait to order a copy of this set, because you might just wait too long!  And that would be a shame!",1
5.0,BEAUTIFUL THOROUGH COMPILATION,"I love this and ordered it via telephone and have been listening to the volumes for the last week as I received it in the mail last Thursday December 17, 2009. I believe this is the penultimate collection. There are artist I wish that were included though such as: THE POINTER SISTERS, STEPHANIE MILLS, DONNA SUMMER, ROBERTA FLACK, TEENA-MARIE, ANITA WARD, more from DIONNE WARWICK too; SHIRLEY BASSEY(JAMES BOND themes such as ""DIAMONDS ARE FOREVER,"" circa 1971;and ""WHERE ARE YOU,"" theme from MOONRAKER, C 1979 and many others that were omitted or not present for inclusion. Hopefully, TIMELIFE/RHINO can create future volumes and send them to owner's of this boxset and like myself can just purchase them thru phone or online.<br />  To reiterate, this is a must have. I love 'em and pop 3 in my cd disc changer which plays continuously until I change the cd. Great for relaxation and downtimes and just singalong with all your favorites! ABSOLUTELY FABULOUS!!!",1
2.0,Not at all what I had wanted,not what I had wanted it was just recoding how to do the song not the CD with different songs.,0
5.0,And abs are legitimate. I’d like to get more from them,Very good lp.,1
1.0,A better Version is needed.,"The other reviewer mentioned the available CD.  As a collector of original cast albums of flop musicals, I regretfully bought that CD.  It was more than full price for what apparently a bootleg or garage version of the vinyl album.  The insert came straight off of a computer printer, the first band was silent (the actual recording started on the second band) leading someone less persistent to believe that the entire disc was blank and the audio quality made it sound like it had been recorded in someone's basement.  Hardlly a commercial issue at the high end of the commercial price range.",0
5.0,BING BONG!!,"ILL BILL & NEMS DROP A COLLABO PROJECT LONG IN THE MAKING<br /><br />NEMS WAS ONCE SIGNED TO NECRO BEFORE HE GOT WITH CREATIVE JUICES MUSIC<br /><br />NOW DEEZ 2 BRUDDAZ FROM ANOTHER MOTHERZ COME TOGETHER TO DROP 12 TRACKS OF HARDCORE HIP-HOP. BREAK YA NECK TO THIS ONE. MAYBE SMOKEY SMOKE A LIL BIT. QUIT YOUR JOB, START YOUR OWN BUSINESS AND STOP BEING A BABY.<br /><br />FEATURES FROM VINNIE PAZ, LORD GOAT, IMMORTAL TECHNIQUE AND DV ALIAS KHRYST.<br /><br />AYY I BOUGHT THE CD SO I CAN LOOK AT IT ON MY SHELF WITH THE REST OF MY NEMS CD'S",1
5.0,I have read most of this series and I love them.,Bought this cd set for my Dad. I have read most of this series and I love them.,1
1.0,Expiration date expired,I did not like that this food product was nearly 2 months expired when it arrived. I received these macaroons on 4/20/2021 and the box had an expiration date stamped on it of 2021/02/27.,0
1.0,One Star,Only plays so far and then stops. If has a big scratch on the back.,0
5.0,Thank you for the great variety of music David Dye and WXPN,The CD was in very good condition. I like the music and variety that is on each and every CD &quot;Live At The World Cafe&quot;.,1
1.0,Bootleg!,Illegal bootleg.  You can get it for free online.,0
5.0,BEAUTIFUL MUSIC!,This is an awesome CD!  These two extraordinary voices meld together<br />and create such beautiful and heartfelt music!  I would love it if they would work together again!,1
1.0,"Whats worst, a guy who is an ass, or a bass player with no style","Bought this cd to see if it was any good.. threw it out 2 min later. Horrible band for one thing, not so good music.",0
5.0,music to chase hares down holes to - quelques chansons brillantes,"This is one of my favorite albums of all time.  Ces mecs sont pure seventies.  Imagine the Beatles mixed with a touch of Crosby Stills Nash & Young and Jefferson Airplane cut with someone like Leo Kottke- but in Quebecois French.<br /><br />The entire album is mostly mellow acoustic- guitar driven 70's folk rock. They're aptly named, because the harmonies & melodies here will catch you.  The lyrics are really exquisite, too, I think. Pretty sure quite a bit of chemical inspiration went into the writing of these songs. Par example, from the title song, Harmonium:<br /><br />Imaginez qu'un homme musicien vienne voir si je suis vivant, chargé par ses milles instruments.  y'en avait un pour moi, justement. il est entré sans rien me dire, l'encre s'est mise à couler dans ma tete et sur un vieux papier.. il m'a dit de vous dire qu'il n'y a plus rien a dire, il m'a dit de vous dire d'ecouter.<br /><br />Roughly: Imagine, a music man come to see if I'm alive, bearing his thousands of instruments. He had one for me, only one. He came in without saying anything.. Ink has begun to flow in my head onto an old paper.. He told me to tell you that there's nothing more to say, he told me to tell you to listen.<br /><br />It's more poetic in French, but you get the semantic thrust. Anyway, can't be sure, but I think someone dropped a couple tabs, there. It must have been fun.  The result is quite nice & trippy, anyway.<br /><br />This album is a very good tool to improve your French with, btw, having very clear enunciation - excepting that there's a bit of l'argot quebecois here, but that to me only adds to their allure.<br /><br />Highly recommended. Seek it out if you like French music at all.",1
5.0,"Very good CD, probably best new orleans i have ever ...","Very good CD , probably best new orleans i have ever heard.",1
5.0,GREAT CD!,"I love all of Alisa Jones' music, and this is another CD that I listen to repeatedly.  I'm so glad that I have it!",1
5.0,Believe it!,"A Mahler symphony performed by high school students? Hard to believe. A Mahler symphony performed with sure technical command and idiomatic fluency by high school students? Unbelievable. But one listen to this live recording by Rudolf Barshai and the Junge Deutsche Philharmonie, and you'll become a believer. While Barshai is probably best known as a Shostakovich conductor (he premiered the composer's Fourteenth Symphony in 1969), on the evidence of this CD he's a natural Mahlerian as well. Arguably the most difficult of Mahler's symphonies to put over convincingly, the Fifth here is a model of architectural strength and contrapuntal clarity, which flows beautifully and even effortlessly. Barshai refuses to indulge in self-conscious phrasing or sensational effects, yet the climaxes are as shattering as the composer would want, while the sinuous (and sinewy) Adagietto comes off as the love song to future-wife Alma that Mahler intended. This is something very special; the same recording is also available on Brilliant Classics coupled with Barshai's own orchestration of the unfinished Tenth Symphony.",1
5.0,Spine tingling vocals!,"Heard this on CalmRadio (recommended) and was transfixed by the beautiful voice, immediately bought the CD. Wei Li is enchanting!",1
5.0,Great value and fast shipping..,Seller has hard to find classics like this one..good price..original packaging..no surprises..,1
1.0,Unacceptable Language,Language,0
5.0,Fantastic beginning to end!,"This album, a Greatest Hits compilation, examines this group's career from early on to modern day. The songs are so catchy, so melodic, and some even soul searching. Wonderful in every way!",1
1.0,THIS CD SET REALLY SUCKS,THESE CDS REALLY SUCK. THERE WAS 2 SONGS I LIKED THE REST WERE BORING AND I NEVER HEARD OF THEM BEFORE!!! DO NOT WASTE YOUR MONEY!!!,0
4.0,Editorial Review is incorrect,"The editorial review above is in no way related to the album that is for sale, Prayer Chain live at CBGB.  This person must have been drunk.  This editorial is for a completely different album by different artists.",1
2.0,Disappointing,"I love Ish and Company B, but my main problem with this album is the vocals: the vocals just didn't really fit the music style. They pretty much used the same girl on all tracks, and she oversings in the modern R&B style so common today. Basically gratuitous melisma that these light, breezy dance tracks don't really call for. It was enough to ruin the album for me. I wish Ish had brought back the girls from the first three albums. Oh well.",0
5.0,Born This Way: Deluxe Edition,"When Lady Gaga decided to release a deluxe edition of her smash hit album &#34;Born This Way&#34;, I feel like many little monsters stood up and cheered. This album is great as it includes three more songs on the original album, plus a bonus CD of amazing remixes. You won't be upset if you purchase this album today. :)",1
2.0,Good Quad,"First of 2 I bought from Dutton only to check out the quality before buying any others. Bought another I wished I hadn't cause of only one track charted in the 70's. Will buy more only if I like the music and you should also, because these older audio releases are really something to hear.",0
5.0,Nat King Cole,"Beautiful voice, beautiful music.",1
5.0,Wonderful music,This is a wonderful music collection.  Love it.,1
5.0,Five Stars,Was surprised that I enjoyed all of the songs.,1
2.0,Unfortunately not so good,"I would use fewer than 20 words if I were allowed. I just want to say that unfortunately the sound quality of this recording is not very good. It's quite distorted, though the music is beautiful. I heard it in a store and couldn't tell then. But at home, on my home stereo, I was quite surprised and disappointed. 5 Stars for the music, no stars for the recording quality=2.5 stars",0
2.0,OK. Was hoping it would have been more to ...,OK.  Was hoping it would have been more to my liking.,0
5.0,After the Ball,It's a pleasure to give 5 stars on any of Beegie Adair's recordings.  The CD arrived promptly and was in good shape Thanks,1
5.0,Joe Bonamassa -- A New Legend,"If you love Jazz and Blues and Southern-style, New Orleans style music, you have to hear Joe Bonamassa!  He plays guitar like a demon and sings throaty blues like he was born to do it. Which he was. If you love Eric Clapton and Muddy Waters and the good old blues and jazz bands, you won't be able to get enough of Joe and his talented musicians.",1
2.0,"Don't order this if you are wanting a CD, ...","Don't order this if you are wanting a CD, even though the ad says &#34;audio CD&#34;  I received a vinyl record.",0
4.0,"As always, the Ronettes rock, and perfection is the expectation.","The CD arrived as promised with a nice personal thank-you from the sellers - a nice touch! I'm a Ronettes freak, so this review may be a bit more critical than some others would be. The original stereo LP (it wasn't easy to find back in the day, as the US release was mono) remains as the &#34;bomb&#34; in my personal view, - as it has decent stereo separation, good echo and reproduction of the girl's voices. Although I love the &#34;Wall of Sound,&#34; I could do without Phil's mono fetish.<br /><br />This CD is nicely executed, but at this point on my small office stereo sounds like re-engineered mono, but comes across with stunning echo (I love it!) and nice reproduction of Ronnie's voice. The Estelle and Nedra sound somewhat distant, as do the smaller percussion instruments, - a negative in my view. I'm not yet sure about the bass. This is really petty on my part as I don't know what the engineers had to work with - but I'd like just a bit more of the mid-range. All in all, I'd rate this CD as just short of excellent. I may revise the rating upward (it won't go down, no way) after I play it in my car's larger system, or on the big (and old) 100w Sansui system in the living room. If you like the Ronettes, buy this CD. It's worth every penny.",1
1.0,One Star,I received a CD with background noise too annoying to hear. Complete waste of my money,0
2.0,broken,everything was fine except its broke. i got minhos pc btw.,0
5.0,One almost hit wonder.,"Years ago I had this ""album"" as a record and recorded it on tape cassette. Now that certainly dates me and the recording but as cassette tapes don't work on my I phone I purchased this CD to have a little music from past I cruise about in my car.",1
2.0,This is the reissue from 1948.. The one ...,"This is the reissue from 1948.. The one I own, photo attached, is the 1946 first release",0
5.0,One of Mclachlan’ Best CDs,"I borrowed this CD from my daughter, then decided I had to have my own copy. Great holiday/winter songs!",1
5.0,As advertised,As advertised. A great recording !!!,1
5.0,Five Stars,Awesomeness!,1
5.0,Child of the mid 80s fabulousness!,"Wonderful!! This set of 7 CDs is every tape of GT goodness that I grew up listening to. =D  Now my littles can sing along with me!! Fabulous and totally worth the $70 (that's just $10 per disc). Bonus, the seller shipped my order in mere hours.",1
1.0,One Star,Not a good purchase at all. The CDs are not at all inspiring. Very poor instructions,0
5.0,I just LOVE 30 Seconds to Mars,"I just LOVE 30 Seconds to Mars. They are my favorite band right now. Jared Leto is amazing,,,, and this is an amazing collection. Great, great original music.",1
1.0,"and not very good ones, at that","This is not a compilation of old songs - it is just instrumental renderings, and not very good ones, at that.  Please do not waste your money buying this product.",0
2.0,Makes EPISODE 1 look like a classic,"Slow, tedious prequel to Lucas's megahit saga, has young Anakin traveling back to Naboo with Senator Amidala as her protector while Obi-Wan pursues the bloodthirsty bounty hunter Jango Fett, and stumbles across a seemingly endless army of clones in the process. Like its predecessor THE PHANTOM MENACE, this contains enough exhausting visual effects to sink a boat, but they don't pack any of the punch they should. This, along with laughable politics, cardboard-thin characters, ridiculous sexual chemistry between the two leads and a monotonous battle at the end make this pitiful instalment easily the worst of the entire saga yet. EPISODE 1 actually looks good by comparison. One of the first films to be shot of HD Video, but who cares?",0
5.0,A moment in time not to be repeated.,"Growing up I always thought this was a Jefferson Starship LP so I left it alone. Not too long ago I was tracking down any Cream albums I didn't own and came across this. Bonus with Winwood! When it first arrived I honestly listened to it back to back for about 3 days. I grew up having heard it all before (through the osmosis of growing up in the 70s), but the bonus track with cut out jams makes it worth the price of admission.",1
1.0,"a lot of talk, but no action","The CD starts out by Mark talking about his CD, and goes on,and on for it seem like 10 minutes, and finally he uses Hypnotherapy , and never really gets to the issue, and will want my money back",0
5.0,MURDA,MURDA!!!,1
1.0,Its not real good,"I did not like what I heard.  And for some reason my idiot roomate plays them all the time to piss me off.  So I've sadly heard alot of their so called 'jams'.  The singer sounds like a whiny turd version of glassjaw.  His singing style to me, is heavily annoying. His voice will haunt your nightmares if you listen to him too much.<br /><br />The music is kinda simple, the lyrics are pretty inane.<br /><br />If you pay 39 american dollars for this CD you WILL want to smash your self in the balls at least ten times.",0
5.0,VERY pleased,"Delivered on time. Packaged very securely. Wide range of recordings and manufacturers. Not every recording had a date on it, but of those that did, 1908 was the oldest. There were no breaks, chips, or scratches.<br />The sleeves do not necessarily represent the record inside and the quality of the sleeves ranged from fragile can't use again to die hard heavy cardboard. With this quantity, at this reasonable price, I did not mind having to clean each record before playing them. It helped me bond with them. ;)",1
1.0,One Star,cd/mp3 discs will not play.  They seem to be blank.,0
5.0,Repetitions,I loved this format. Clearly heard,1
5.0,Johnny Mathis has been my all time love since I heard him at the Waldorf Astoria back ...,"Johnny Mathis has been my all time love since I heard him at the Waldorf Astoria back in the 60th still feel for his music. I saw him at the Forest Hills Tennis Court with the Young  Americans in Concert in the 70th. I saw Him in Seattle in Concert, He is the greatest when it comes to Romance.",1
5.0,Dwight Yokum,One of the best singers around and great songs,1
2.0,The use of the word &quot;summer&quot; is questionable................,"A word of warning for those interested in buying British compilation albums with the word &quot;summer&quot; in the title.  In my record buying experience, the word &quot;summer&quot; usually refers to when it was released, and not because the tracks featured relate to &quot;summer&quot; songs.  This is a prime example of what I mean.  &quot;Ultimate Summer Party Megamix&quot;, endorsed by Chris Tarrant - the host of the UK's version of 'Who Wants To Be A Millionaire' - is basically a collection of the biggest selling songs appearing in the UK charts from January-July 1999.  There's a couple of other well-known songs that have become karoke classic over the years, plus several bona-fide &quot;summer songs&quot;.  But really, this is a megamix version of &quot;Now That's What I Call Music&quot; - and it's released by the same people too.  So if it's a genuine &quot;summer&quot; album you're after, check the track listings carefully.<br />Jon.",0
2.0,Essential?  Not really...,"Alright, the &quot;star&quot; rating is not based on the music found on this collection.  The music is mostly first rate, but it's a rather lackluster collection.  If you are beginning your exploration into the music of Sandy Denny or you are simply looking for a first rate best-of collection, start with &quot;No More Sad Refrains,&quot; which is a 2-disc set which covers her entire professional career, including key tracks from Fairport Convention.  It's a far, far better collection than this ramshackle, unessential collection.  Two stars for false representation.  Sandy deserves better.",0
1.0,RLG,Can't review it because I never got it.<br />I really wanted it because I love RLG  and I don't have any of his dance mixes.,0
1.0,Buyer beware.,Buyer beware. This is a bootleg. This is not an official Apple or Beatles release. Proceed with caution & be sure to research before you purchase.,0
